iter	Passed	Remaining
0	3	318
1	4	243
2	6	202
3	7	177
4	8	167
5	10	156
6	11	152
7	12	142
8	13	137
9	14	133
10	17	138
11	18	135
12	19	132
13	21	130
14	22	125
15	23	121
16	24	121
17	25	117
18	27	115
19	28	114
20	31	119
21	33	117
22	34	114
23	35	112
24	36	109
25	37	107
26	39	106
27	40	103
28	41	101
29	42	99
30	43	97
31	46	98
32	47	96
33	49	95
34	50	93
35	51	91
36	52	89
37	53	87
38	54	85
39	55	83
40	57	82
41	57	79
42	59	79
43	61	77
44	62	76
45	63	75
46	65	73
47	66	71
48	67	70
49	68	68
50	69	67
51	71	65
52	74	66
53	75	64
54	76	62
55	77	61
56	79	59
57	80	57
58	81	56
59	82	55
60	83	53
61	84	52
62	86	50
63	89	50
64	90	48
65	92	47
66	94	46
67	96	45
68	97	43
69	98	42
70	100	40
71	103	40
72	105	38
73	106	37
74	107	35
75	108	34
76	110	32
77	111	31
78	112	29
79	114	28
80	115	27
81	118	25
82	119	24
83	120	23
84	121	21
85	123	20
86	124	18
87	125	17
88	127	15
89	128	14
90	129	12
91	133	11
92	134	10
93	135	8
94	136	7
95	138	5
96	139	4
97	140	2
98	141	1
99	142	0
