iter	Passed	Remaining
0	175	175158
1	177	88729
2	180	59859
3	186	46517
4	190	37899
5	196	32494
6	202	28713
7	204	25365
8	206	22706
9	207	20579
10	220	19851
11	222	18330
12	224	17051
13	227	15989
14	228	15018
15	230	14187
16	232	13439
17	242	13207
18	245	12697
19	248	12160
20	254	11875
21	256	11410
22	259	11005
23	270	11002
24	272	10617
25	275	10315
26	276	9967
27	277	9640
28	285	9574
29	287	9289
30	289	9038
31	290	8787
32	291	8546
33	292	8316
34	293	8096
35	297	7978
36	298	7781
37	301	7637
38	302	7463
39	304	7297
40	305	7139
41	314	7178
42	316	7045
43	319	6945
44	328	6966
45	333	6926
46	374	7586
47	376	7469
48	380	7376
49	381	7246
50	382	7122
51	383	6999
52	385	6885
53	387	6788
54	388	6677
55	389	6568
56	390	6464
57	391	6365
58	398	6358
59	400	6267
60	401	6176
61	402	6087
62	403	6002
63	404	5922
64	406	5842
65	407	5764
66	417	5812
67	420	5760
68	421	5689
69	423	5619
70	428	5608
71	429	5538
72	430	5469
73	431	5403
74	433	5344
75	434	5282
76	435	5221
77	436	5165
78	438	5108
79	443	5099
80	445	5050
81	446	4995
82	446	4937
83	448	4888
84	449	4839
85	451	4794
86	452	4748
87	453	4702
88	462	4729
89	463	4685
90	464	4641
91	465	4598
92	467	4556
93	468	4515
94	478	4555
95	480	4525
96	482	4495
97	484	4460
98	489	4453
99	490	4416
100	492	4382
101	493	4345
102	494	4309
103	496	4278
104	497	4244
105	499	4210
106	500	4180
107	502	4150
108	503	4118
109	505	4088
110	507	4061
111	509	4038
112	510	4007
113	511	3978
114	516	3977
115	520	3966
116	530	4001
117	536	4010
118	538	3986
119	544	3994
120	547	3980
121	549	3956
122	552	3938
123	559	3952
124	560	3925
125	562	3899
126	563	3871
127	565	3849
128	566	3826
129	567	3800
130	568	3774
131	570	3748
132	577	3763
133	580	3750
134	582	3730
135	583	3709
136	585	3686
137	591	3694
138	593	3674
139	594	3652
140	596	3633
141	599	3622
142	608	3645
143	609	3623
144	610	3602
145	612	3580
146	613	3558
147	614	3536
148	615	3514
149	616	3495
150	624	3510
151	625	3491
152	626	3470
153	629	3458
154	631	3441
155	640	3466
156	642	3451
157	648	3453
158	651	3443
159	652	3426
160	653	3407
161	656	3395
162	658	3381
163	659	3361
164	660	3342
165	664	3337
166	665	3319
167	667	3306
168	668	3289
169	670	3271
